Date,Open,High,Low,Close,Volume
23-Sep-16,5.79,5.95,5.78,5.92,892077
22-Sep-16,5.60,5.75,5.52,5.75,996065
21-Sep-16,5.47,5.69,5.45,5.57,1109323
20-Sep-16,5.46,5.50,5.28,5.45,877709
19-Sep-16,5.38,5.48,5.35,5.42,733326
16-Sep-16,5.47,5.58,5.25,5.38,2724958
15-Sep-16,5.56,5.63,5.41,5.52,1293088
14-Sep-16,5.62,5.83,5.48,5.54,1522737
13-Sep-16,6.02,6.02,5.54,5.66,1669778
12-Sep-16,6.02,6.20,5.95,6.10,581382
9-Sep-16,6.13,6.19,5.98,6.06,898332
8-Sep-16,6.30,6.30,6.12,6.19,964850
7-Sep-16,6.19,6.23,6.07,6.11,767028
6-Sep-16,6.11,6.23,6.06,6.22,945924
2-Sep-16,6.10,6.18,6.03,6.12,537321
1-Sep-16,6.10,6.15,5.91,6.06,676449
31-Aug-16,6.03,6.09,5.95,6.08,682820
30-Aug-16,6.00,6.15,5.99,6.01,497391
29-Aug-16,5.97,6.10,5.94,6.00,514063
26-Aug-16,5.99,6.18,5.90,5.95,747367
25-Aug-16,5.99,6.08,5.91,6.00,832899
24-Aug-16,6.11,6.17,5.99,5.99,603304
23-Aug-16,6.01,6.12,5.95,6.10,737169
22-Aug-16,5.93,6.02,5.86,6.00,425234
19-Aug-16,6.03,6.04,5.95,5.98,647450
18-Aug-16,6.03,6.18,5.96,6.03,949176
17-Aug-16,6.09,6.09,5.83,5.95,1185207
16-Aug-16,6.20,6.20,5.91,6.09,1956595
15-Aug-16,6.21,6.28,5.93,6.21,1978507
12-Aug-16,6.39,6.90,5.98,6.23,7569087
11-Aug-16,5.28,5.48,5.15,5.41,1751352
10-Aug-16,5.46,5.47,5.19,5.22,887220
9-Aug-16,5.57,5.69,5.45,5.50,663632
8-Aug-16,5.23,5.58,5.23,5.56,1020577
5-Aug-16,4.92,5.20,4.90,5.19,785780
4-Aug-16,4.95,5.03,4.90,4.96,855987
3-Aug-16,4.98,5.06,4.92,4.94,814995
2-Aug-16,5.10,5.15,4.97,5.00,801214
1-Aug-16,5.18,5.18,5.00,5.07,1042285
29-Jul-16,5.09,5.21,5.00,5.18,887367
28-Jul-16,5.21,5.25,5.08,5.11,605432
27-Jul-16,5.06,5.28,5.06,5.26,769264
26-Jul-16,5.05,5.24,5.05,5.08,844388
25-Jul-16,5.14,5.19,5.08,5.08,384357
22-Jul-16,5.12,5.15,5.05,5.13,328282
21-Jul-16,5.23,5.32,5.08,5.12,565616
20-Jul-16,5.16,5.30,5.15,5.27,639659
19-Jul-16,5.21,5.30,5.07,5.15,472777
18-Jul-16,5.08,5.27,4.99,5.21,682800
15-Jul-16,5.17,5.20,4.97,5.07,807698
14-Jul-16,5.18,5.20,5.06,5.13,681785
13-Jul-16,5.25,5.29,5.05,5.12,616681
12-Jul-16,5.17,5.28,4.99,5.25,961900
11-Jul-16,5.11,5.20,4.90,5.09,844593
8-Jul-16,5.19,5.24,5.06,5.08,527596
7-Jul-16,5.13,5.30,5.01,5.14,786184
6-Jul-16,5.09,5.17,4.94,5.10,948483
5-Jul-16,5.40,5.44,5.07,5.14,763493
1-Jul-16,5.88,5.88,5.16,5.44,1900425
30-Jun-16,5.65,5.95,5.62,5.93,717114
29-Jun-16,5.54,5.67,5.43,5.65,708174
28-Jun-16,5.28,5.50,5.24,5.49,869826
27-Jun-16,5.53,5.59,5.11,5.22,1579294
24-Jun-16,5.60,5.73,5.27,5.59,5804183
23-Jun-16,5.88,6.06,5.72,5.89,1191969
22-Jun-16,6.34,6.38,5.83,5.90,984725
21-Jun-16,6.30,6.30,6.02,6.23,759314
20-Jun-16,6.00,6.33,6.00,6.18,643408
17-Jun-16,6.06,6.34,5.98,6.02,1084042
