Date,Open,High,Low,Close,Volume
21-Sep-16,5.22,5.34,5.22,5.27,8794
20-Sep-16,5.14,5.22,5.14,5.20,11101
19-Sep-16,5.05,5.24,5.05,5.20,12671
16-Sep-16,5.03,5.12,4.91,5.12,20842
15-Sep-16,5.10,5.12,4.98,5.06,9914
14-Sep-16,5.09,5.10,4.96,5.10,15815
13-Sep-16,4.96,5.12,4.96,5.01,6149
12-Sep-16,4.76,5.05,4.76,4.96,8672
9-Sep-16,5.02,5.02,4.75,4.86,4252
8-Sep-16,4.96,5.07,4.86,5.07,9574
7-Sep-16,4.90,5.12,4.86,4.90,8276
6-Sep-16,5.06,5.06,4.85,4.88,9966
2-Sep-16,5.24,5.25,5.02,5.10,17236
1-Sep-16,5.35,5.35,4.93,5.31,11602
31-Aug-16,5.28,5.30,5.20,5.28,6040
30-Aug-16,5.24,5.34,5.12,5.28,4570
29-Aug-16,5.09,5.28,5.00,5.28,10666
26-Aug-16,4.86,5.04,4.76,4.98,18385
25-Aug-16,5.10,5.10,4.78,4.93,3042
24-Aug-16,5.08,5.09,5.00,5.04,6678
23-Aug-16,5.00,5.09,4.91,5.09,4574
22-Aug-16,4.90,4.99,4.85,4.99,6594
19-Aug-16,4.94,4.94,4.85,4.87,10999
18-Aug-16,4.82,5.14,4.78,4.99,4318
17-Aug-16,4.88,4.91,4.77,4.85,21201
16-Aug-16,4.80,4.91,4.75,4.89,16701
15-Aug-16,4.79,4.89,4.77,4.77,6518
12-Aug-16,5.00,5.04,4.74,4.85,47714
11-Aug-16,5.19,5.20,5.00,5.02,12918
10-Aug-16,5.21,5.29,5.01,5.13,8440
9-Aug-16,5.05,5.14,5.05,5.14,7962
8-Aug-16,5.21,5.28,5.00,5.03,14142
5-Aug-16,5.33,5.33,5.10,5.18,12762
4-Aug-16,5.13,5.40,5.13,5.36,2300
3-Aug-16,5.29,5.40,5.20,5.34,7582
2-Aug-16,5.30,5.39,5.05,5.33,14615
1-Aug-16,5.35,5.35,5.31,5.35,2555
29-Jul-16,5.32,5.45,5.32,5.44,5520
28-Jul-16,5.24,5.39,5.24,5.36,9517
27-Jul-16,5.16,5.38,5.10,5.32,14537
26-Jul-16,5.05,5.40,5.05,5.21,8458
25-Jul-16,5.32,5.32,5.00,5.04,31209
22-Jul-16,5.39,5.43,5.34,5.36,5077
21-Jul-16,5.33,5.40,5.25,5.38,5424
20-Jul-16,5.39,5.39,5.26,5.37,7941
19-Jul-16,5.40,5.43,5.25,5.28,17027
18-Jul-16,5.50,5.50,5.40,5.42,5020
15-Jul-16,5.50,5.54,5.22,5.54,11261
14-Jul-16,5.55,5.55,5.32,5.49,6168
13-Jul-16,5.42,5.60,5.38,5.50,11702
12-Jul-16,5.19,5.57,5.19,5.38,29058
11-Jul-16,5.17,5.17,5.01,5.10,14551
8-Jul-16,5.02,5.17,5.00,5.13,18558
7-Jul-16,4.73,4.98,4.70,4.92,15789
6-Jul-16,4.55,4.85,4.55,4.76,6278
5-Jul-16,4.80,4.90,4.48,4.55,7545
1-Jul-16,4.87,5.16,4.75,4.92,19277
30-Jun-16,4.60,5.07,4.60,4.93,25321
29-Jun-16,4.92,4.92,4.59,4.84,12936
28-Jun-16,4.75,4.88,4.62,4.88,10656
27-Jun-16,4.65,4.78,4.56,4.75,13148
24-Jun-16,4.74,4.86,4.55,4.86,30425
23-Jun-16,4.86,4.89,4.81,4.85,5490
22-Jun-16,4.75,4.92,4.68,4.82,9020
21-Jun-16,4.94,4.94,4.62,4.69,6311
20-Jun-16,4.67,4.89,4.64,4.84,22741
17-Jun-16,4.67,4.77,4.61,4.61,24916
16-Jun-16,4.72,4.88,4.62,4.82,8913
15-Jun-16,4.93,4.97,4.69,4.69,12910
14-Jun-16,4.76,4.95,4.66,4.90,12835
13-Jun-16,4.84,4.99,4.76,4.80,22043
10-Jun-16,4.68,4.96,4.68,4.96,17133
