Date,Open,High,Low,Close,Volume
9-May-16,1.41,1.46,1.39,1.42,566931
6-May-16,1.40,1.44,1.39,1.40,217329
5-May-16,1.44,1.45,1.39,1.40,388368
4-May-16,1.44,1.47,1.40,1.43,378626
3-May-16,1.48,1.48,1.41,1.42,471076
2-May-16,1.60,1.61,1.44,1.52,774014
29-Apr-16,1.61,1.64,1.59,1.60,1093580
28-Apr-16,1.48,1.59,1.46,1.58,1645998
27-Apr-16,1.44,1.47,1.43,1.46,823614
26-Apr-16,1.44,1.44,1.41,1.42,575078
25-Apr-16,1.43,1.43,1.38,1.39,394293
22-Apr-16,1.43,1.44,1.38,1.42,506107
21-Apr-16,1.38,1.41,1.37,1.41,425483
20-Apr-16,1.38,1.42,1.35,1.37,492666
19-Apr-16,1.40,1.40,1.37,1.37,392367
18-Apr-16,1.35,1.40,1.35,1.39,168214
15-Apr-16,1.38,1.41,1.35,1.37,338160
14-Apr-16,1.42,1.42,1.39,1.40,284318
13-Apr-16,1.36,1.44,1.35,1.40,890620
12-Apr-16,1.34,1.38,1.33,1.37,257870
11-Apr-16,1.34,1.36,1.32,1.34,334410
8-Apr-16,1.35,1.35,1.33,1.33,152479
7-Apr-16,1.34,1.37,1.32,1.34,340008
6-Apr-16,1.35,1.37,1.34,1.35,269493
5-Apr-16,1.38,1.38,1.35,1.36,160314
4-Apr-16,1.39,1.40,1.37,1.38,306750
1-Apr-16,1.39,1.41,1.37,1.39,100973
31-Mar-16,1.40,1.41,1.37,1.40,293824
30-Mar-16,1.37,1.41,1.36,1.41,637936
29-Mar-16,1.35,1.40,1.35,1.38,345989
28-Mar-16,1.37,1.39,1.34,1.38,225963
24-Mar-16,1.32,1.39,1.31,1.38,224058
23-Mar-16,1.41,1.43,1.33,1.34,557406
22-Mar-16,1.42,1.45,1.39,1.40,437251
21-Mar-16,1.43,1.43,1.39,1.39,220499
18-Mar-16,1.41,1.44,1.39,1.43,302726
17-Mar-16,1.39,1.45,1.39,1.42,325984
16-Mar-16,1.38,1.43,1.34,1.40,378334
15-Mar-16,1.42,1.43,1.37,1.40,333552
14-Mar-16,1.42,1.47,1.42,1.43,438295
11-Mar-16,1.42,1.47,1.42,1.45,347372
10-Mar-16,1.45,1.50,1.40,1.43,399702
9-Mar-16,1.46,1.49,1.45,1.47,229708
8-Mar-16,1.47,1.50,1.45,1.48,340537
7-Mar-16,1.44,1.51,1.37,1.51,611974
4-Mar-16,1.50,1.56,1.41,1.42,923472
3-Mar-16,1.48,1.53,1.47,1.51,830847
2-Mar-16,1.38,1.49,1.38,1.48,719271
1-Mar-16,1.42,1.44,1.40,1.41,410276
29-Feb-16,1.33,1.45,1.33,1.42,868655
26-Feb-16,1.33,1.40,1.33,1.36,907790
25-Feb-16,1.28,1.34,1.27,1.33,574408
24-Feb-16,1.31,1.33,1.23,1.33,916935
23-Feb-16,1.28,1.32,1.28,1.31,728465
22-Feb-16,1.31,1.34,1.30,1.31,323997
19-Feb-16,1.35,1.35,1.30,1.32,299126
18-Feb-16,1.30,1.35,1.30,1.34,347741
17-Feb-16,1.32,1.36,1.31,1.32,638167
16-Feb-16,1.27,1.35,1.27,1.34,252034
12-Feb-16,1.27,1.29,1.25,1.28,433000
11-Feb-16,1.26,1.29,1.24,1.27,485456
10-Feb-16,1.30,1.30,1.27,1.30,206675
9-Feb-16,1.29,1.32,1.28,1.29,319866
8-Feb-16,1.31,1.34,1.30,1.32,282017
5-Feb-16,1.43,1.43,1.30,1.35,373963
4-Feb-16,1.33,1.43,1.33,1.40,467740
3-Feb-16,1.30,1.36,1.29,1.33,678889
2-Feb-16,1.34,1.35,1.28,1.30,501926
1-Feb-16,1.36,1.39,1.29,1.36,445717
29-Jan-16,1.30,1.36,1.30,1.33,240573
28-Jan-16,1.31,1.35,1.30,1.30,186480
27-Jan-16,1.35,1.35,1.31,1.31,201542
26-Jan-16,1.32,1.35,1.30,1.30,304129
25-Jan-16,1.34,1.35,1.30,1.31,312807
22-Jan-16,1.40,1.42,1.29,1.36,1307241
21-Jan-16,1.19,1.25,1.16,1.23,681267
20-Jan-16,1.20,1.24,1.11,1.20,1412074
19-Jan-16,1.25,1.28,1.21,1.23,569047
15-Jan-16,1.25,1.27,1.20,1.27,553860
14-Jan-16,1.25,1.29,1.23,1.26,466074
13-Jan-16,1.28,1.30,1.24,1.25,418212
12-Jan-16,1.31,1.38,1.25,1.26,914241
11-Jan-16,1.35,1.39,1.28,1.32,494052
8-Jan-16,1.33,1.40,1.33,1.33,743616
7-Jan-16,1.36,1.36,1.30,1.31,616732
6-Jan-16,1.45,1.45,1.37,1.39,668566
5-Jan-16,1.49,1.52,1.45,1.46,297304
4-Jan-16,1.46,1.55,1.45,1.52,724196
31-Dec-15,1.64,1.67,1.52,1.56,898503
30-Dec-15,1.61,1.68,1.58,1.63,3456932
29-Dec-15,1.50,1.60,1.43,1.58,1862102
28-Dec-15,1.38,1.59,1.38,1.55,2387661
24-Dec-15,1.33,1.39,1.33,1.37,539141
23-Dec-15,1.32,1.38,1.32,1.37,516222
22-Dec-15,1.31,1.35,1.28,1.35,496515
21-Dec-15,1.22,1.33,1.22,1.30,1079469
18-Dec-15,1.20,1.22,1.17,1.22,638065
17-Dec-15,1.28,1.28,1.20,1.20,496069
16-Dec-15,1.19,1.28,1.19,1.27,812708
15-Dec-15,1.21,1.21,1.17,1.18,470550
14-Dec-15,1.19,1.23,1.16,1.19,389748
11-Dec-15,1.18,1.20,1.17,1.18,298548
10-Dec-15,1.24,1.24,1.17,1.19,562998
9-Dec-15,1.20,1.24,1.19,1.23,301296
8-Dec-15,1.19,1.20,1.16,1.17,455677
7-Dec-15,1.23,1.24,1.19,1.19,577537
4-Dec-15,1.28,1.30,1.20,1.22,871763
3-Dec-15,1.27,1.30,1.27,1.29,372179
2-Dec-15,1.26,1.32,1.26,1.28,413755
1-Dec-15,1.30,1.32,1.26,1.30,623484
30-Nov-15,1.37,1.39,1.25,1.27,1339991
27-Nov-15,1.38,1.38,1.34,1.36,355017
25-Nov-15,1.36,1.42,1.34,1.39,627236
24-Nov-15,1.29,1.35,1.28,1.35,302522
23-Nov-15,1.36,1.36,1.28,1.30,900013
20-Nov-15,1.36,1.39,1.34,1.34,519513
